,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
909,2016,From 30 to 39,Male,Yemen,R1,9
913,2016,From 30 to 39,Male,Syria,R1,9
917,2018,From 30 to 39,Female,Yemen,R3,9
918,2016,Unknown,Male,Syria,R1,9
920,2019,From 40 to 49,Male,Saudi Arabia,R4,9
922,2018,From 30 to 39,Female,Pakistan,R3,9
926,2016,Unknown,Male,Yemen,F3,9
928,2019,From 40 to 49,Male,Egypt,F2,9
930,2017,From 30 to 39,Female,Pakistan,R2,9
932,2020,From 40 to 49,Female,Saudi Arabia,R4,9
933,2019,From 40 to 49,Female,Saudi Arabia,R4,9
936,2016,Unknown,Male,Yemen,R1,9
937,2016,Unknown,Male,Saudi Arabia,R6,9
938,2018,From 30 to 39,Female,Sudan,R3,9
944,2019,From 40 to 49,Female,Saudi Arabia,R3,9
949,2020,From 30 to 39,Female,Saudi Arabia,F3,9
953,2020,Unknown,Male,Sudan,F1,9
955,2017,Unknown,Female,Sudan,F2,9
957,2017,Unknown,Male,Yemen,R2,9
958,2017,Unknown,Male,Yemen,F3,9
962,2018,Unknown,Male,Egypt,R2,9
963,2017,Unknown,Female,Yemen,R3,9
964,2018,From 40 to 49,Male,Sudan,F1,9
965,2016,From 30 to 39,Female,Pakistan,R1,9
967,2019,Unknown,Male,Yemen,R4,9
968,2019,From 30 to 39,Female,Sudan,R4,9
970,2020,From 20 to 29,Male,Bahrain,R2,9
972,2017,Unknown,Male,Sudan,R3,9
976,2019,From 30 to 39,Female,Yemen,R4,9
977,2018,Unknown,Male,Yemen,R3,9
990,2021,From 20 to 29,Male,Bahrain,R1,9
992,2019,From 30 to 39,Female,Pakistan,R4,9
993,2020,Unknown,Male,Egypt,R4,8
999,2016,Unknown,Female,Saudi Arabia,F3,8
1000,2016,Unknown,Female,Sudan,F2,8
1004,2020,Unknown,Female,Yemen,R5,8
1010,2016,Unknown,Male,Pakistan,F2,8
1013,2016,Unknown,Male,Palestine,R3,8
1015,2016,Unknown,Male,Palestine,R4,8
1019,2016,Unknown,Male,Sudan,R1,8
1021,2016,Unknown,Male,Egypt,F2,8
1023,2018,From 40 to 49,Female,Sudan,F2,8
1027,2016,Unknown,Female,Yemen,R4,8
1029,2016,Unknown,Male,Syria,R4,8
1030,2016,Unknown,Female,Yemen,R2,8
1031,2018,From 40 to 49,Male,Saudi Arabia,R5,8
1033,2016,From 20 to 29,Male,Saudi Arabia,D1,8
1034,2017,From 30 to 39,Male,Syria,R2,8
1035,2018,Unknown,Male,Sudan,R4,8
1037,2017,Unknown,Male,Bahrain,R1,8
1041,2018,Unknown,Male,Palestine,R4,8
1044,2017,Unknown,Male,Egypt,R1,8
1046,2017,From 40 to 49,Female,Sudan,F1,8
1047,2017,From 40 to 49,Female,Saudi Arabia,F2,8
1048,2018,From 30 to 39,Female,Saudi Arabia,F3,8
1060,2019,Unknown,Male,Egypt,R3,8
1062,2017,Unknown,Male,Yemen,F1,8
1063,2017,From 40 to 49,Male,Saudi Arabia,D1,8
1064,2018,Unknown,Female,Yemen,R4,8
1065,2019,From 30 to 39,Male,Syria,R4,8
1066,2021,From 20 to 29,Male,Bahrain,R3,8
1069,2017,Unknown,Male,Syria,R3,8
