,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
472,2022,Riyadh,Medical City of King Saud University in Riyadh,King Saud University,57,no
474,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,Unknown,57,yes
475,2016,Dammam,King Fahd Specialist Hospital in Dammam,Imam Abdulrahman Bin Faisal University,57,no
476,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Taif University,57,no
479,2021,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Unknown,57,yes
480,2019,Jeddah,International Medical Center in Jeddah,Unknown,57,yes
482,2016,Madinah,King Fahd Hospital in Medina,Taibah University,57,no
484,2018,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,King Faisal University,57,no
485,2016,Makkah,JointProgram for Family Medicine in Makkah,Umm Al Qura University,57,no
486,2020,Makkah,Security Forces Hospital in Mecca,Unknown,57,yes
487,2019,Taif,The program of the Ministry of Health in Taif ,Unknown,57,yes
490,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Taif University,56,no
492,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,56,no
494,2019,Riyadh,King Khalid University Hospital in Riyadh,Unknown,56,yes
495,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Unknown,56,yes
496,2021,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,56,no
498,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,56,no
